Hindi,English,Transliteration
में,In,mẽ
है,Is,hai
हैं,Are,ha͠i
नहीं,No,nahī̃
लिए,For,lie
गया,Went,gayā
तथा,And,tathā
अपने,Our,apne
कुछ,Some?,kuch
साथ,with,sāth
होता,Would,hotā
था,Was,thā
दिया,Gave,diyā
हुए,happened,hue
कोई,Any,koī
रूप,Form,rūp
से,From,se
मैं,I,ma͠i
रहा,remained,rahā
हुआ,Happened,huā
बात,talk,bāt
कहा,Said,kahā
समय,Time,samay
क्या,What,kyā
अपनी,Own,apnī
होती,would have been,hotī
प्रकार,Type,prakār
बहुत,Very,bahut
तरह,Kind,tarah
बाद,after,bād
फिर,Then,phir
रहे,are,rahe
द्वारा,By,dvārā
अधिक,More,adhik
रही,doing,rahī
होने,to be,hone
एवं,And,evã
हुई,Hui,huī
थे,Were,the
उनके,Their,unke
थी,Was,thī
वाले,ones,vāle
चाहिए,Needed,cāhie
दिन,Day,din
लेकिन,But,lekin
काम,Work,kām
हूँ,am,hū̃
होते,would have been,hote
इसके,Its,iske
उन्हें,Them,unhẽ
गये,gone,gaye
कभी,Sometimes,kabhī
आदि,Etcetera,ādi
लोग,People,log
बार,Times,bār
यहाँ,Here,yahā̃
दोनों,Both,donõ
उन्होंने,They,unhõne
कार्य,Work,kārya
पास,Near,pās
वहाँ,There,vahā̃
भारत,India,bhārat
लिया,took,liyā
प्राप्त,get,prāpt
उनकी,their,unkī
लोगों,people,logõ
गयी,went,gayī
लगा,Put,lagā
अन्य,Other,anya
होगा,will be,hogā
इसी,This ,isī
देश,Country,deś
यदि,If,yadi
सभी,All,sabhī
नाम,Name,nām
वर्ष,Year,varṣ
ऐसा,As such,aisā
विकास,Development,vikās
अपना,own,apnā
ऐसे,This way,aise
दूसरे,Others,dūsre
हाथ,Hand,hāth
भाषा,Language,bhāṣā
मेरे,My,mere
मैंने,I,ma͠ine
तुम,You,tum
बीच,between,bīc
वाली,the one,vālī
बड़े,elder,baṛe
प्रति,Per,prati
व्यक्ति,Person,vyakti
उनका,their,unkā
लिये,for,liye
इसलिए,so,islie
तीन,Three,tīn
इसका,Its,iskā
ऐसी,Such,aisī
विशेष,Specific,viśeṣ
बड़ी,Big,baṛī
अथवा,Or,athvā
भाग,Part,bhāg
क्योंकि,Because,kyõki
सिंह,Lion,sĩh
ठीक,Correct,ṭhīk
स्थिति,Situation,sthiti
परन्तु,but,parantu
स्थान,place,sthān
यही,This only,yahī
क्यों,Why,kyõ
गाँव,Village,gā̃v
राज्य,State,rājya
अलग,apart,alag
लेकर,taking,lekar
अभी,Now!,abhī
इसमें,In this,ismẽ
विभिन्न,various,vibhinn
सी,C,sī
विचार,Idea,vicār
जिस,That,jis
बाहर,Outside,bāhar
ऊपर,Above,ūpar
बना,made,banā
तैयार,Ready,taiyār
अनेक,many,anek
सामने,Front,sāmne
शिक्षा,Education,śikṣā
शरीर,Body,śarīr
होकर,after being,hokar
दृष्टि,Vision,dŕṣṭi
श्री,Mister,śrī
थीं,were,thī̃
दूर,away,dūr
शब्द,Word,śabd
ध्यान,Attention,dhyān
चार,Four,cār
मेरी,My,merī
बड़ा,Big,baṛā
पता,Address,patā
लगता,feels like,lagtā
आगे,Ahead,āge
किया,Did,kiyā
उत्तर,Answer,uttar
किन्तु,but,kintu
आने,to come,āne
लगे,engaged,lage
लगभग,About,lagbhag
इसे,This,ise
लाख,Lakh,lākh
बारे,about,bāre
होना,Happen,honā
इससे,From this,isse
मात्रा,amount,mātrā
अध्ययन,Study,adhyayan
वाला,the one,vālā
जिसमें,in which,jismẽ
नीचे,Below,nīce
अर्थ,Meaning,arth
लोक,Folk,lok
आवश्यक,Necessary,āvaśyak
हो,yes,ho
माँ,Mother,mā̃
छोटे,small,choṭe
प्रतिशत,percentage,pratiśat
शुरू,Start,śurū
अगर,If,agar
इतना,This much,itnā
आया,Came,āyā
होगी,will happen,hogī
मिल,mill,mil
स्वयं,Self,svayã
रात,Night,rāt
बिना,Without,binā
हमें,Us,hamẽ
उपयोग,Use,upyog
किए,did,kie
महत्वपूर्ण,Important,mahatvapūrṇ
मुख्य,main,mukhya
साल,Year,sāl
ज्यादा,More,jyādā
साहित्य,Literature,sāhitya
पूर्व,East,pūrv
निर्माण,Construction,nirmāṇ
विषय,Subject,viṣay
जिससे,By which,jisse
देख,See,dekh
चित्र,Picture,citra
लगी,felt,lagī
प्रत्येक,Everyone,pratyek
मनुष्य,man,manuṣya
गई,Went,gaī
स्पष्ट,clear,spaṣṭ
दिनों,days,dinõ
रंग,Colour,raṅg
इसकी,his,iskī
स्तर,level,star
मेरा,My,merā
दूसरी,second,dūsrī
अच्छा,Good,acchā
रोग,Disease,rog
काल,period,kāl
अच्छी,Good,acchī
विज्ञान,Science,vijñān
भाई,Brother,bhāī
ज्ञान,Knowledge,jñān
दिल्ली,Delhi,dillī
बनाने,make,banāne
रुपये,Rs.,rupye
रखा,kept,rakhā
आवश्यकता,Need,āvaśyaktā
आता,comes,ātā
कौन,Who,kaun
हों,be,hõ
आर्थिक,Economic,ārthik
सहायता,Help,sahāytā
अतिरिक्त,Excessive,atirikt
देर,Late,der
तरफ,side,taraph
लेने,to take,lene
चला,walked,calā
सामाजिक,Social,sāmājik
समझ,Understanding,samajh
मगर,But,magar
आते,coming,āte
बच्चे,Children,bacce
कला,Art,kalā
पत्र,Letter,patra
भीतर,within,bhītar
संस्कृति,Culture,sanskŕti
उनमें,in them,unmẽ
वर्ग,Social class,varg
विभाग,Department,vibhāg
चाहता,wants,cāhtā
सिर,Head,sir
बताया,told,batāyā
जगह,Place,jagah
वही,Same,vahī
इतनी,So much,itnī
स्थापित,Established,sthāpit
राष्ट्रीय,National,rāṣṭrīya
स्वर,Vocal,svar
क्षेत्रों,areas,kṣetrõ
जिसके,whose,jiske
जन्म,Birth,janma
जाए,go,jāe
दौरान,during,daurān
गांधी,Gandhi,gāndhī
हाँ,Yes,hā̃
जनता,public,jantā
किस,What,kis
केन्द्र,center,kendra
साहब,Sir,sāhab
पूर्ण,full,pūrṇ
पुलिस,Police,pulis
बोला,spoke,bolā
थईआ,theia,thaīā
कमी,Shortage,kamī
समस्या,Problem,samasyā
कार्यक्रम,Program,kāryakram
विवाह,Marriage,vivāh
भूमि,land,bhūmi
भाव,expressions,bhāv
देखकर,after seeing,dekhkar
करोड़,Ten million,karoṛ
प्रथम,First,pratham
मूल,Original,mūl
परिवर्तन,Change,parivartan
बच्चों,children,baccõ
लाभ,Benefit,lābh
प्रदान,provide,pradān
आये,came,āye
छोटी,Small,choṭī
स्त्री,Woman,strī
सेवा,Service,sevā
व्यवहार,Behaviour,vyavhār
राम,Ram,rām
रचना,Composition,racnā
की,of,kī
भिन्न,Different,bhinn
मिट्टी,Soil,miṭṭī
देशों,countries,deśõ
इनके,their,inke
आती,comes,ātī
सही,Correct,sahī
उपलब्ध,Available,uplabdh
बल्कि,Rather,balki
प्राय,usually,prāy
बिजली,Electricity,bijlī
लेते,take,lete
जान,Life,jān
बढ़,increase,baṛh
सारे,all,sāre
शायद,Perhaps,śāyad
सरकारी,official,sarkārī
पड़,fall,paṛ
चुका,paid off,cukā
पड़ा,lay down,paṛā
विधि,Method,vidhi
छोड़,leave,choṛ
लिखा,wrote,likhā
जबकि,Whereas,jabki